__ON__ LIEB ZUSCHAUER ABEND	liebe zuschauer guten abend .
WINTER GESTERN loc-NORD SCHOTTLAND loc-REGION	heftiger wintereinbruch gestern in nordirland schottland .
UEBERSCHWEMMUNG AMERIKA IX	schwere überschwemmungen in den usa .
WARM MEER loc-WEST WARM loc-WEST BLEIBEN KUEHL	weiterhin warm am östlichen mittelmeer und auch richtung westliches mittelmeer ganz west und nordeuropa bleibt kühl .
KUEHL KUEHL IN-KOMMEND NACHT	und sehr kühl wird auch die kommende nacht .
MINUS loc-MINUS-PLUSPLUS TEIL MINUS FUENF ALPEN KUESTE NULL	verbreitet minusgrade zum teil bis minus fünf am alpenrand und selbst an der küste nahe null grad .
MORGEN TEMPERATUR ACHT BIS DREIZEHN MAXIMAL DREIZEHN	morgen die temperaturspanne auch nur acht bis dreizehn grad höchsttemperatur .
AUCH SAMSTAG WEST FREUNDLICH IX TROCKEN WEST REGEN REGEN	und auch am samstag im osten noch freundlich im westen dann zum teil kräftige schauer .
SONNTAG SUED	sonntag im nordwesten schauer und auch im süden .
SCHNEE DABEI	da auch wieder mit schnee vermischt .
MONTAG __EMP__ SCHAUER KOMMEN	und am montag da ziehen sich die schauer richtung südosten zurück .
DANN FREUNDLICH KLAR MONTAG	und dann wird es doch insgesamt ein recht freundlicher tag .
JETZT WUENSCHEN SCHOEN ABEND __OFF__	und jetzt wünsche ich ihnen noch einen schönen abend .
HEUTE NACHT OST REGEN	heute nacht regnet oder schneit es noch im äußersten osten und südosten .
loc-NORD __HOLD__ REGEN-PLUSPLUS	richtung nordsee fallen regenschauer .
MORGEN UEBERWIEGEND FREUNDLICH IX-PLUSPLUS SCHAUER	am tag ist es überwiegend freundlich und nur vereinzelt fallen schauer .
ABEND WEST loc-SUED BISSCHEN REGEN REGEN	gegen abend beginnt es dann im westen und südwesten hier und da zu regnen .
HIER WIND SCHWACH MAESSIG MAESSIG loc-WEST NORD WIND __OFF__	der wind weht schwach bis mäßig im westen und nordwesten teilweise auch frisch .
__ON__ HEUTE NACHT FLUSS DREI MINUS SECHS ALPEN	heute nacht drei grad an der oder minus sechs grad an den alpen .
VORSICHT GLATT	vorsicht wegen glätte .
