"WHAT"	what
"aw man"	aw man
#AC	air conditioning
#ALL	all
#AT	at
#BUS	bus
#CAR	car
#CLUB	club
#DO	do
#DOG	dog
#FRESH	fresh
#GAS	gas
#HS	hs
#IF	if
#JOB	job
#LATE	late
#NO	no
#OK	ok
#OWN	own
#QUIZ	quiz
#TV	tv
#WHEN	when
(1)GUILTY ((1)GUILTY+)	guilty
(1)TEMPERATURE-DROP	temperature-drop
(1h)(flat-O)PAY/SPEND	spend
(1h)(flat-O)PAY/SPEND	buy
(1h)5"exasperation"	exasperation
(1h)5"forget it"	forget it
(1h)5"hey no"	hey no
(1h)5"hey!"	hey!
(1h)5"perplexed"	perplexed
(1h)5"wait"	wait
(1h)5"whoa"	whoa
(1h)5"why is it so"	why is it so
(1h)5"wow"	wow
(1h)5"you know"	you know
(1h)5-C-L"that's the way it is"	that's the way it is
(1h)ANGRY	angry
(1h)DO-DO	what is
(1h)FINISH	finish
(1h)FISH	fish
(1h)FLAT-TIRE_3	flat-tire
(1h)GIFT:i	gift
(1h)GO	go
(1h)GOOD/THANK-YOU	good
(1h)HAPPY	happy
(1h)HATE/VOMIT	hate
(1h)HAVE	have
(1h)INFORM-2p	inform
(1h)KEY ((1h)KEY++)	key
(1h)L"I don't know"	i don't know
(1h)LAST-YEAR	last-year
(1h)LEAVE	leave
(1h)MAYBE	maybe
(1h)MOVE	move
(1h)NOW	now
(1h)PAY/BUY	bought
(1h)PLAY	play
(1h)STAY	stay
(1h)STEAL	steal
(1h)TEND	tend
(1h)USE_2	use
(1h)WANT	want
(1h)WOW/AWFUL	awful
(1h)part:indef	rvis
(25)WHY	why
(2h)#BURN	burn
(2h)(nd-B-L)IX-3p:j	pointing-sign
(2h)5"dismissive gesture"	dismissive gesture
(2h)ANY	any
(2h)DELETE_3	delete
(2h)GO-OUT	go-out
(2h)KNOW	know
(2h)LONG-PAST	long-past
(2h)LOOK	look
(2h)LOOK-DOWN	look-down
(2h)LOOK-FORWARD	look-forward
(2h)MUST	must
(2h)NOT-YET	not-yet
(2h)THING	thing
